R607615,R444827
R919416,R337736
R549608,R317684
R752552,R232546
R846747,R258015
R253871,R479011
R816325,R241689
R418277,R760668
R603199,R135760
R140747,R230665
R428666,R312847
R263520,R659400
R994648,R389629
R163852,R310580
R999296,R553530
R289497,R351754
R808621,R446483
R983711,R834867
R460834,R300551
R959291,R639758
R817902,R850374
R730449,R191331
R347013,R512604
R485681,R447433
R544499,R851050
R408586,R851464
R764951,R506464
R639170,R707630
R289591,R325722
R744651,R249399
R809087,R550408
R898370,R650050
R126323,R632662
R531358,R914280
R742306,R787066
R771446,R792054
R351476,R597768
R481024,R956544
R922002,R582120
R306078,R492550
R600280,R603999
R487906,R533142
R159544,R880006
R433487,R210670
R962806,R503869
R350238,R686265
R562689,R377487
R327774,R752064
R808266,R516744
R450242,R199130
R740378,R227765
R363699,R514984
R162345,R248813
R637068,R715652
R988970,R516141
R913574,R866388
R307464,R597993
R606314,R865844
R125740,R297038
R341929,R476802
R708352,R992551
R165003,R918594
R139160,R339825
R334485,R106345
R583330,R460536
R488521,R917018
R193489,R613884
R247398,R801584
R529463,R763480
R408624,R625243
R345308,R464948
R866826,R317580
R152188,R659363
R515004,R564592
R523880,R635443
R659149,R982675
R531840,R117579
R372575,R131146
R670534,R782342
R489725,R899095
R945247,R708133
R454363,R491859
R718222,R487049
R657254,R230907
R651646,R794987
R782842,R712351
R413590,R768958
R352291,R978567
R704213,R387089
R974980,R146358
R632526,R688597
R405584,R712245
R722165,R991566
R900114,R944994
R597486,R940028
R483685,R930406
R286210,R316657
R215439,R915359
R421912,R793562
R261885,R583821
R431209,R434957
R598495,R620011
R508748,R170575
R350272,R608989
R263133,R156716
R806527,R613846
R277046,R209671
R180802,R607602
R967015,R742161
R540830,R919282
R948226,R743829
R450174,R638031
R350378,R187771
R306640,R644669
R332216,R457109
R475713,R682873
R637727,R606595
R459101,R866235
R977666,R351861
R612264,R694797
R146643,R753110
R800778,R811130
R564229,R588020
R875222,R832869
R280782,R211616
R110279,R482379
R838707,R541741
R787525,R760502
R839433,R112969
R250774,R488663
R733703,R380156
R548292,R689898
R328852,R257187
R704613,R722624
R649046,R481307
R408176,R105564
R936135,R653148
R935640,R473725
R103852,R627108
R929649,R974575
R853763,R779890
R923487,R613535
R119198,R371886
R922952,R518281
R849534,R257743
R652234,R991764
R599579,R424680
R545913,R424319
R361069,R789637
R737423,R479332
R851727,R932106
R494280,R319078
R948210,R845700
R302509,R634540
R802245,R592608
R527920,R760718
R263075,R988206
R421279,R778956
R389653,R341102
R659534,R875173
R982579,R377619
R757972,R185177
R668845,R193084
R213282,R959584
R498808,R379010
R112260,R456138
R481459,R850006
R759214,R685987
R585772,R245297
R407967,R478176
R993452,R658363
R794066,R249984
R650148,R814585
R537827,R992839
R156497,R845030
R115849,R768555
R403779,R887707
R238140,R169821
R954429,R975855
R753853,R962728
R461517,R961203
R187323,R160712
R906711,R149316
R998879,R251902
R625424,R887213
R423521,R600991
R855031,R989536
R211327,R156861
R167702,R647251
R549697,R661070
R372933,R772704
R903113,R708084
R226784,R571929
R606752,R745485
R582652,R192083
R567716,R989723
R474091,R442615
R224370,R670152
R794225,R104837
R722301,R547562
R460383,R106670
R685368,R396245
R696870,R654069
R114474,R196100
R863526,R232977
R881136,R137284
R883611,R133347
R643528,R568344
R838239,R188166
R953732,R935674
R549219,R973996
R651340,R755323
R252439,R537275
R641819,R555780
R210315,R574862
R272606,R645966
R396150,R904351
R719784,R559541
R924145,R275519
R752963,R382091
R105017,R454212
R605357,R271566
R457984,R811142
R556224,R966658
R813508,R140812
R588525,R114673
R614956,R964318
R117892,R773148
R440484,R639439
R520100,R652020
R984024,R811937
R766287,R491076
R965508,R988667
R854931,R410621
R204930,R432611
R997286,R391866
R808909,R877183
R541942,R574815
R833121,R553342
R876135,R977700
R396042,R514498
R833358,R425858
R138087,R597555
R614600,R536448
R875387,R353833
R362055,R151196
R645276,R201591
R864766,R851275
R471299,R728237
R201991,R683103
R734544,R184199
R291450,R327060
R753484,R177467
R932222,R340331
R569582,R917085
R159071,R902622
R400281,R774103
R769402,R606813
R273751,R244495
R975488,R479261
R543958,R688148
R252517,R574957
R163005,R605971
R947962,R878071
R444757,R510606
R267380,R251249
R723004,R522974
R908752,R773560
R488674,R661466
R818526,R328707
R650917,R410741
R576772,R691758
R401152,R120995
R835392,R272867
R811085,R970964
R525057,R505482
R176910,R200465
R999285,R121849
R178065,R485296
R456893,R153498
R432727,R644609
R161856,R964217
R528755,R674003
R509850,R224763
R709775,R515135
R164626,R543875
R721713,R328943
R174412,R437846
R421081,R912237
R190908,R756902
R556275,R748938
R590514,R118059
R767535,R514742
R660668,R934277
R478150,R218902
R865617,R453301
R132475,R748828
R283318,R326429
R587270,R390542
R960609,R962337
R197776,R596471
R928961,R160696
R884423,R404104
R848094,R501173
R772031,R856905
R913702,R409112
R222187,R628615
R507815,R827896
R527537,R839505
R850484,R586681
R733742,R542259
R156387,R117349
R606240,R510128
R146794,R730322
R190436,R489126
R882787,R495422
R135646,R917011
R299110,R412144
R974420,R273787
R800253,R793003
R142709,R275699
R444507,R160085
R382777,R652717
R961148,R119465
R774736,R506085
R859758,R866253
R118508,R197438
R730825,R630134
R178975,R812102
R316422,R486879
R311083,R536840
R396921,R169889
R413457,R320191
R478682,R584915
R323963,R361981
R572808,R536169
R231755,R990078
R482212,R987852
R617426,R267539
R528129,R932523
R607578,R362712
R881906,R952384
R259323,R560526
R739270,R642727
R836546,R951659
R332209,R846284
R575097,R726297
R910244,R313805
R566650,R359060
R810978,R444547
R801973,R917359
R692259,R228910
R862128,R372388
R783276,R863047
R539932,R593210
R981066,R717304
R412418,R172534
R495885,R935204
R678809,R485731
R686195,R113949
R699476,R697230
R500314,R771753
R185101,R864886
R371002,R761637
R620319,R897722
R770276,R987752
R519425,R974282
R201951,R412360
R976912,R991286
R575008,R846099
R988180,R250721
R283921,R973628
R506777,R646037
R262996,R677935
R888333,R647498
R987606,R828951
R744046,R445727
R805030,R814086
R701699,R118686
R327608,R393767
R196859,R233366
R570885,R451988
R861219,R228871
R145746,R662537
R631705,R166057
R378136,R244751
R902511,R317528
R761992,R245928
R814681,R786178
R902093,R135702
R698974,R353076
R881686,R563605
R491852,R137838
R164955,R891145
R405404,R155175
R387701,R937654
R259043,R535703
R706747,R129025
R950210,R909721
R515398,R411436
R744105,R734377
R285398,R680553
R348815,R824029
R785612,R899542
R187318,R835654
R427157,R329569
R208981,R436261
R653687,R638040
R696318,R707498
R707811,R850619
R148232,R944107
R636349,R617481
R988528,R733305
R291467,R124185
R840255,R536473
R672533,R305223
R336732,R572425
R712261,R978514
R199010,R982085
R178103,R171124
R296020,R379226
R764229,R371416
R450328,R765425
R682025,R518178
R826029,R187631
R774450,R768728
R960586,R425206
R471815,R820443
R545637,R934949
R586985,R442061
R308713,R472004
R209164,R651931
R248774,R504163
R337197,R149719
R711967,R183688
R496513,R658049
R691258,R509269
R826973,R393074
R524895,R660040
R753441,R134110
R333754,R911435
R812701,R590710
R690068,R280310
R500222,R163873
R181341,R823775
R126388,R389090
R763656,R897226
R323503,R952790
R616790,R636553
R294022,R246959
R536493,R371455
R399566,R645047
R478597,R394444
R412450,R461756
R846851,R165161
R649108,R635458
R577479,R854369
R445509,R648614
R608898,R328525
R444948,R540540
R797954,R917370
R204223,R629632
R337195,R352569
R844105,R806733
R194025,R506117
R781605,R172983
R168224,R527753
R398172,R304978
R596909,R764166
R229232,R807439
R958047,R176916
R928440,R557149
R936236,R728456
R106820,R904496
R748551,R566926
R997394,R968648
R310042,R961356
R780635,R996282
R310095,R542702
R306930,R609640
R430279,R964471
R848780,R389369
R179713,R722833
R759366,R897386
R341154,R109710
R712224,R361214
R214048,R355757
R356285,R759029
R560367,R874000
R466032,R713859
R649995,R242061
R789751,R326696
R449688,R126593
R922993,R143723
R326334,R821442
R399831,R233863
R766546,R741450
R952278,R771060
R371116,R113347
R808452,R361255
R720307,R960181
R282761,R801933
R684603,R147054
R193933,R761122
R418111,R178276
R400246,R235215
R860377,R782372
R393535,R230415
R386538,R650332
R310319,R970765
R704105,R535068
R498634,R337454
R507597,R934504
R520911,R901966
R812946,R816528
R135495,R270953
R610738,R491763
R114331,R848978
R507141,R362129
R622116,R715264
R938929,R429209
R969837,R428756
R791802,R999852
R348225,R866792
R897199,R440860
R510830,R329845
R543619,R979238
R976708,R170972
R211558,R845554
R188238,R636110
R550521,R611963
R330726,R218080
R538438,R626978
R290628,R448885
R386802,R327236
R339572,R649412
R962519,R570763
R258415,R267312
R935474,R546519
R516518,R894649
R275137,R875954
