Blocking,Classifier,Attributes,RR,PC,PQ,Accuracy,Precision,Recall,F-measure,Blocking Time,Comparison Time,Classification TIme,Time
soundex,simClass,"[1, 3]",0.99997662,0.6287,0.6722626176218991,0.99999045,0.9832655614638723,0.6287,0.7669879224106381,0.12610244750976562,0.21982955932617188,0.0050048828125,0.5589187145233154
soundex,weightSimClass,"[1, 3]",0.99997662,0.6287,0.6722626176218991,0.9999906725,0.9976186696301,0.6284,0.7710902509356402,0.09581470489501953,0.22164463996887207,0.013626575469970703,0.5390677452087402
soundex,treeClass,"[1, 3]",0.99997662,0.6287,0.6722626176218991,0.99999071,0.9996819338422391,0.6286,0.7718565815324164,0.14058709144592285,0.2186720371246338,1.5827782154083252,2.1500191688537598
slk,simClass,"[1, 3]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.0894312858581543,0.07781267166137695,0.0147552490234375,0.3899810314178467
slk,weightSimClass,"[1, 3]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.0820779800415039,0.03206205368041992,0.0207366943359375,0.34285855293273926
slk,treeClass,"[1, 3]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.0870823860168457,0.09188151359558105,0.29261088371276855,0.6795566082000732
soundex,simClass,"[3, 4]",0.9991221125,0.7682,0.021876379376628553,0.9999915925,0.8804310443654706,0.768,0.8203813491427656,0.07833480834960938,17.718712329864502,0.14576959609985352,18.150798559188843
soundex,weightSimClass,"[3, 4]",0.9991221125,0.7682,0.021876379376628553,0.9999935875,0.9702719797596457,0.767,0.8567439262775762,0.11308097839355469,15.047701597213745,0.33992505073547363,15.708689451217651
slk,simClass,"[3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.13032841682434082,0.03377485275268555,0.01939535140991211,0.3914804458618164
slk,weightSimClass,"[3, 4]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.1387326717376709,0.03589057922363281,0.01891946792602539,0.40152454376220703
soundex,simClass,"[1, 4, 6]",0.999321095,0.6563,0.024167593404084517,0.99998881,0.8633254406735069,0.6563,0.7457107146915123,0.15174388885498047,12.562673568725586,0.1957228183746338,13.118122100830078
soundex,weightSimClass,"[1, 4, 6]",0.999321095,0.6563,0.024167593404084517,0.999990735,0.960896309314587,0.6561,0.7797718088899452,0.31136560440063477,18.007662057876587,0.39373278617858887,18.92074227333069
slk,simClass,"[1, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.22349309921264648,0.07909512519836426,0.01572442054748535,0.526294469833374
slk,weightSimClass,"[1, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.15673589706420898,0.07071781158447266,0.04759836196899414,0.4830338954925537
soundex,simClass,"[1, 3, 4, 6]",0.9999841275,0.5853,0.921877461017483,0.999989565,0.9954081632653061,0.5853,0.7371536523929472,0.3449530601501465,0.17313098907470703,0.0,0.7260658740997314
soundex,weightSimClass,"[1, 3, 4, 6]",0.9999841275,0.5853,0.921877461017483,0.9999896175,0.9991463206419668,0.5852,0.7380967396102668,0.4248991012573242,0.17231106758117676,0.06276440620422363,0.8679563999176025
soundex,treeClass,"[1, 3, 4, 6]",0.9999841275,0.5853,0.921877461017483,0.9999896325,1.0,0.5853,0.7384091339178704,0.3142104148864746,0.15760254859924316,0.92799973487854,1.6077945232391357
slk,simClass,"[1, 3, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.26798224449157715,0.050126075744628906,0.0,0.526090145111084
slk,weightSimClass,"[1, 3, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.15907549858093262,0.0415034294128418,0.0285947322845459,0.43715548515319824
slk,treeClass,"[1, 3, 4, 6]",0.9999874725,0.5011,1.0,0.9999875275,1.0,0.5011,0.6676437279328492,0.21266674995422363,0.045331478118896484,0.594202995300293,1.060183048248291
