R46511,R36928
R69142,R19521
R94747,R83061
R89357,R74297
R17204,R90201
R14112,R40950
R34853,R69023
R33058,R96487
R57244,R52807
R81298,R88880
R89419,R39398
R50790,R61213
R89628,R75748
R95721,R51649
R31857,R25572
R28700,R85184
R82929,R42879
R82958,R74856
R82394,R82993
R54410,R85539
R80625,R17999
R82650,R99537
R20364,R28731
R51943,R42723
R76313,R18485
R20047,R42291
R24561,R34429
R44105,R35943
R18328,R72001
R87233,R10400
R49978,R36026
R28746,R31481
R44982,R48160
R94932,R13036
R97656,R86043
R11331,R72253
R59961,R12498
R41294,R22222
R90359,R72834
R84437,R94849
R59389,R16603
R26468,R78476
R87090,R87480
R34837,R95984
R60978,R18455
R98001,R16025
R83839,R75190
R49048,R54354
R85497,R95987
R59298,R85606
R73915,R71197
R55414,R32542
R84028,R12688
R32438,R28957
R47329,R25799
R77087,R59444
R89729,R24671
R85971,R27420
R73081,R98779
R42618,R71737
R37747,R84836
R79575,R77504
R45601,R64768
R42713,R78736
R32556,R71861
R87245,R32550
R66025,R27045
R65786,R14952
R42263,R76807
R35599,R14869
R21473,R15445
R12262,R50078
R25101,R46872
R55322,R61934
R79901,R84237
R64086,R63020
R48767,R70086
R47742,R58080
R72040,R43243
R66449,R80817
R39389,R51841
R78686,R55501
R73729,R97854
R70993,R99477
R40222,R47744
R66605,R18011
R84931,R81709
R51217,R17827
R46341,R92806
R13826,R47071
R83632,R59011
R56912,R25492
R61540,R14219
R14281,R39044
R48637,R19445
R38067,R52852
R45797,R25332
R36058,R30003
R86203,R73444
R59201,R26842
R48759,R97686
R26917,R43396
R59346,R31695
R86875,R69894
R54617,R34604
R13004,R94606
R72961,R14257
R30317,R52582
R79496,R65326
R50202,R10369
R48729,R60398
R26088,R92973
R48201,R78108
R66498,R19153
R33759,R25303
R21882,R21068
R89212,R57463
R96466,R43134
R89769,R67452
R51212,R85365
R35528,R43879
R51754,R85970
R12193,R61356
R41889,R49953
R32431,R80485
R43352,R75756
R30648,R94026
R46821,R54301
R75931,R11220
R80151,R49607
R49232,R52526
R76756,R33701
R43319,R86491
R47924,R77802
R50767,R90780
R42129,R97957
R38489,R31943
R65411,R97655
R33416,R27734
R62809,R83001
R32612,R81363
R76874,R87003
R65190,R91091
R11320,R20952
R53749,R85760
R80763,R41291
R54078,R18394
R24826,R61689
R38149,R29358
R39209,R17640
R40210,R42905
R56720,R32221
R74141,R56887
R75077,R62980
R73240,R27604
R65773,R57492
R29480,R86030
R48666,R60600
R70424,R68670
R12349,R64739
R64279,R15947
R45094,R91741
R25020,R49895
R33257,R44876
R35732,R88184
R62011,R14609
R46287,R63004
R82178,R60236
R26134,R93665
R12944,R95037
R14383,R21937
R91093,R38497
R20583,R24653
R36119,R22535
R75888,R51230
R86780,R89270
R32473,R61108
R56194,R74369
R29158,R52107
R47299,R22628
R73040,R34874
R16732,R74514
R75670,R76298
R47473,R37857
R10144,R55398
R75672,R85177
R20659,R69902
R20219,R60035
R51631,R98277
R34698,R25569
R32846,R19078
R19843,R71894
R93952,R27228
R96151,R87043
R25595,R48103
R85569,R70699
R19615,R23379
R64410,R56927
R88485,R34532
R62711,R68862
R78952,R80021
R34222,R62557
R93072,R86313
R75751,R32699
R57740,R54332
R18910,R32057
R25982,R86901
R44702,R70900
R42839,R26615
R53376,R58868
R61014,R95064
R11595,R80133
R29367,R91001
R75353,R87962
R92540,R23044
R64486,R51384
R69980,R60846
R50728,R12964
R14531,R56561
R13695,R96985
R17771,R95530
R46011,R23829
R48405,R77752
R83383,R24582
R89480,R66234
R60337,R92916
R13712,R13487
R71522,R95523
R50256,R64863
R53372,R19258
R44668,R82726
R45454,R53836
R56749,R17286
R13786,R11369
R85473,R73162
R99074,R11722
R27653,R38140
R38832,R16693
R56045,R12033
R39265,R43552
R10776,R76545
R43559,R60540
R62807,R68156
R56323,R95184
R25948,R99306
R91881,R79911
R66854,R82461
R13035,R30495
R86924,R29709
R34617,R61905
R90619,R12433
R22730,R73368
R63385,R33525
R19478,R27320
R82487,R32773
R22583,R31130
R61773,R48785
R24738,R75126
R13706,R29779
R61820,R64921
R40713,R62986
R62520,R44314
R91426,R24667
R29319,R14785
R84575,R87616
R75265,R72953
R86055,R22908
R83448,R62943
R70674,R45869
R52451,R78439
R69162,R87915
R96277,R98222
R58073,R19311
R74984,R80978
R85667,R95584
R92266,R85517
R63520,R56791
R17400,R49736
R70683,R15419
